Material,Density [kg/m3],Max Heat Flux [W/m^2],Max Temperature [K],Cost [$/m2],Sources
Carbon fiber CMC,2.08E+03,,1992,1223857.141,Aerospace Materials DB
ACC,1.60E+03,,1866,1387468.65,Costs
AETB-8,8.02E+02,,1699,821286.7184,
LI-900,144.2,,1533,1058092.85,
TABI,1.12E+02,,1366,646911.2946,
AFRSI-HT,9.61E+01,,1477,666286.3417,
AFRSI,1.44E+02,,922,657675.2096,
PBI felt,8.01E+01,,810,361667.5457,
FRSI,8.65E+01,,644,358438.3712,
Nickel super alloy tile,8360,,1310,1383163.084,
Titanium multiwall,4428.7,,866,1406843.697,